 ,ICT,ICU,ICUN,ICD,ICUJ,ICC,ICW,CBO,TA,PUBA,PRIA,PROA,DA,LCOM5,JAXTL,JAXCL,JAXCD,JAXNC,JAXID,JAXII,JAXAC,JAXAM,NOC,TNE,JEC,CEC,JCKE,RTE,ERR,DIT,TM,EDM,ORM,OLM,ORR,OLR,ORMNA,ECORM,EOLM,AOLM,OOM,OMSC
Buggy 14 : StringUtils,9,9,0,0,0,0,0,8,11,2,9,0,0,0.9370810579291144,6296,4223,2,1,0,0,0,0,0,25,25,0,9,16,0,1,177,165,0,59,0.0,0.33333334,0,0,0,0,0.0,0.0
Buggy 15 : TypeUtils,13,13,0,0,0,0,0,4,0,0,0,0,0,0.8793650793650793,951,434,1,0,0,0,0,0,0,9,9,0,0,9,0,1,39,27,0,11,0.0,0.2820513,0,0,0,0,0.0,0.0
Buggy 16 : NumberUtils,3,3,0,0,0,0,0,2,18,18,0,0,0,0.9252305665349143,1327,686,1,0,0,0,0,0,0,45,45,0,0,45,0,1,58,46,0,28,0.0,0.4827586,0,0,0,24,0.0,0.0
Buggy 17 : CharSequenceTranslator,4,4,0,0,0,0,0,2,0,0,0,0,0,0.8,123,50,1,0,0,0,1,1,8,5,5,0,3,2,0,1,17,5,0,2,0.0,0.11764706,0,0,0,0,0.0,0.0
Buggy 19 : NumericEntityUnescaper,2,2,0,0,0,0,0,1,0,0,0,0,0,0.0,74,15,1,0,0,0,0,0,0,2,2,0,1,1,0,2,17,1,1,0,0.05882353,0.0,0,0,0,0,0.0,0.0
Buggy 20 : StringUtils,8,8,0,0,0,0,0,7,11,2,9,0,0,0.9316899574689697,6274,4198,1,0,0,0,0,0,0,28,28,0,12,16,0,1,176,164,0,59,0.0,0.33522728,0,0,0,0,0.0,0.0
Buggy 21 : DateUtils,8,8,0,0,0,0,0,3,18,15,3,0,0,0.9508196721311475,1776,1179,2,1,0,1,0,0,0,37,37,0,4,33,0,1,68,56,0,18,0.0,0.2647059,0,0,0,0,0.0,0.0
Buggy 22 : Fraction,1,1,0,0,0,0,0,1,18,12,6,0,0,0.9502487562189055,907,476,1,0,0,1,0,0,0,25,25,0,0,25,0,4,45,33,7,3,0.15555556,0.06666667,0,0,0,0,0.0,0.0
Buggy 23 : ExtendedMessageFormat,10,9,1,0,0,0,0,5,9,0,9,0,0,0.8524822695035461,478,180,1,0,0,0,0,0,0,10,10,0,0,10,0,5,55,15,6,0,0.10909091,0.0,0,0,0,0,0.0,0.16666667
Buggy 24 : NumberUtils,3,3,0,0,0,0,0,2,18,18,0,0,0,0.9252305665349143,1337,686,1,0,0,0,0,0,0,45,45,0,0,45,0,1,58,46,0,28,0.0,0.4827586,0,0,0,24,0.0,0.0
Buggy 26 : FastDateFormat,18,18,0,0,0,0,0,19,45,4,35,0,6,0.9594640243215854,1598,774,16,17,2,13,0,3,0,12,12,0,2,10,0,4,49,41,13,15,0.26530612,0.30612245,3,0,0,0,0.8,0.0
Buggy 27 : NumberUtils,3,3,0,0,0,0,0,2,18,18,0,0,0,0.9252305665349143,1334,686,1,0,0,0,0,0,0,44,44,0,0,44,0,1,58,46,0,28,0.0,0.4827586,0,0,0,24,0.0,0.0
Buggy 28 : NumericEntityUnescaper,2,2,0,0,0,0,0,1,0,0,0,0,0,0.0,61,11,1,0,0,0,0,0,0,2,2,0,1,1,0,2,17,1,1,0,0.05882353,0.0,0,0,0,0,0.0,0.0
Buggy 29 : SystemUtils,2,2,0,0,0,0,0,2,77,71,6,0,0,0.9836956521739131,1715,1478,1,0,0,0,0,0,0,2,2,0,1,1,0,1,35,23,0,2,0.0,0.057142857,0,0,0,0,0.0,0.0
Buggy 30 : StringUtils,5,4,1,0,0,0,0,10,3,2,1,0,0,0.9299363057324841,5884,3951,1,0,0,0,0,0,0,22,22,0,5,17,0,1,169,157,0,57,0.0,0.3372781,0,0,0,0,0.0,0.0
Buggy 31 : StringUtils,5,4,1,0,0,0,0,9,3,2,1,0,0,0.929149956750806,5866,3948,1,0,0,0,0,0,0,22,22,0,5,17,0,1,169,157,0,57,0.0,0.3372781,0,0,0,0,0.0,0.0
Buggy 32 : HashCodeBuilder,7,7,0,0,0,0,0,7,3,0,3,0,0,0.788235294117647,933,640,1,0,0,0,0,0,0,7,7,0,1,5,1,1,44,34,2,24,0.045454547,0.54545456,0,0,0,18,0.0,0.0
Buggy 33 : ClassUtils,8,8,0,0,0,0,0,5,8,4,4,0,0,0.9174603174603174,986,511,1,0,0,0,0,0,0,10,10,0,8,2,0,1,47,35,0,15,0.0,0.31914893,0,0,0,0,0.0,0.0
Buggy 34 : ToStringStyle,10,9,1,0,0,0,0,10,31,5,26,0,0,0.9626436781609196,2012,1193,6,5,0,1,1,0,1,0,0,0,0,0,0,2,123,111,0,45,0.0,0.36585367,0,0,0,43,0.0,0.0
Buggy 35 : ArrayUtils,6,6,0,0,0,0,0,7,20,20,0,0,0,0.8610267405157525,4292,2677,1,0,0,0,0,0,0,8,8,0,0,8,0,1,186,174,0,153,0.0,0.82258064,0,0,0,137,0.0,0.0
Buggy 36 : NumberUtils,3,3,0,0,0,0,0,2,18,18,0,0,0,0.9252305665349143,1322,680,1,0,0,0,0,0,0,44,44,0,0,44,0,1,58,46,0,28,0.0,0.4827586,0,0,0,24,0.0,0.0
Buggy 37 : ArrayUtils,6,6,0,0,0,0,0,7,20,20,0,0,0,0.8587161545482203,4219,2619,1,0,0,0,0,0,0,6,6,0,0,6,0,1,185,173,0,153,0.0,0.827027,0,0,0,137,0.0,0.0
Buggy 38 : FastDateFormat,18,18,0,0,0,0,0,19,45,4,35,0,6,0.9594640243215854,1597,773,16,17,2,13,0,3,0,12,12,0,2,10,0,4,49,41,13,15,0.26530612,0.30612245,3,0,0,0,0.8,0.0
Buggy 39 : StringUtils,4,4,0,0,0,0,0,8,3,2,1,0,0,0.9285264663805436,5581,3749,1,0,0,0,0,0,0,22,22,0,5,17,0,1,162,150,0,54,0.0,0.33333334,0,0,0,0,0.0,0.0
Buggy 40 : StringUtils,5,5,0,0,0,0,0,5,3,2,1,0,0,0.9283017737296261,5519,3725,1,0,0,0,0,0,0,7,7,0,0,7,0,1,161,149,0,54,0.0,0.33540374,0,0,0,0,0.0,0.0
Buggy 41 : ClassUtils,8,8,0,0,0,0,0,4,8,4,4,0,0,0.9168831168831169,952,496,1,0,0,0,0,0,0,10,10,0,8,2,0,1,47,35,0,15,0.0,0.31914893,0,0,0,0,0.0,0.0
Buggy 42 : Entities,6,6,0,0,0,0,0,8,18,3,6,6,3,0.9071895424836601,924,583,8,8,1,3,1,3,0,8,6,2,5,1,0,1,23,11,0,2,0.0,0.08695652,0,0,0,0,0.0,0.0
Buggy 43 : ExtendedMessageFormat,9,9,0,0,0,0,0,3,9,0,9,0,0,0.8524822695035461,449,159,1,0,0,0,0,0,0,10,10,0,0,10,0,5,55,15,6,0,0.10909091,0.0,6,0,0,0,0.0,0.16666667
Buggy 44 : NumberUtils,2,2,0,0,0,0,0,2,0,0,0,0,0,0.9222222222222223,674,330,1,0,0,0,0,0,0,14,14,0,0,14,0,1,30,18,0,4,0.0,0.13333334,0,0,0,6,0.0,0.0
Buggy 45 : WordUtils,0,0,0,0,0,0,0,2,0,0,0,0,0,0.7832167832167832,614,389,1,0,0,0,0,0,0,0,0,0,0,0,0,1,25,13,0,5,0.0,0.2,0,0,0,0,0.0,0.0
Buggy 46 : StringEscapeUtils,4,4,0,0,0,0,0,4,4,0,4,0,0,0.8351449275362319,827,461,1,0,0,0,0,0,0,25,24,1,17,7,0,1,36,24,0,11,0.0,0.30555555,0,0,0,0,0.0,0.0
Buggy 47 : StrBuilder,7,7,0,0,0,0,0,8,8,0,5,2,1,0.9037459085949812,2546,1332,4,3,0,1,0,0,0,21,21,0,0,21,0,2,137,129,4,71,0.02919708,0.5182482,4,0,0,28,0.33333334,0.0
Buggy 49 : Fraction,1,1,0,0,0,0,0,1,18,12,6,0,0,0.9505347593582888,892,470,1,0,0,1,0,0,0,25,25,0,0,25,0,4,44,33,8,3,0.18181819,0.06818182,8,0,0,0,0.0,0.0
Buggy 50 : FastDateFormat,18,18,0,0,0,0,0,19,46,4,35,0,7,0.9598393574297188,1591,771,16,17,2,13,0,3,0,12,12,0,2,10,0,4,49,41,13,15,0.26530612,0.30612245,13,0,0,0,0.8,0.0
Buggy 51 : BooleanUtils,1,1,0,0,0,0,0,2,0,0,0,0,0,0.9722222222222222,929,622,1,0,0,0,0,0,0,12,12,0,0,12,0,1,48,36,0,21,0.0,0.4375,0,0,0,16,0.0,0.0
Buggy 52 : StringEscapeUtils,4,4,0,0,0,0,0,3,0,0,0,0,0,0.8214285714285714,661,363,1,0,0,0,0,0,0,21,20,1,13,7,0,1,32,20,0,9,0.0,0.28125,0,0,0,0,0.0,0.0
Buggy 53 : DateUtils,8,8,0,0,0,0,0,2,19,16,3,0,0,0.9360119047619048,935,529,2,1,0,1,0,0,0,26,26,0,2,24,0,1,37,25,0,8,0.0,0.21621622,0,0,0,0,0.0,0.0
Buggy 54 : LocaleUtils,9,9,0,0,0,0,0,0,4,0,4,0,0,0.8,278,132,1,0,0,0,0,0,0,5,5,0,0,5,0,1,20,8,0,1,0.0,0.05,0,0,0,0,0.0,0.0
Buggy 55 : StopWatch,0,0,0,0,0,0,0,1,10,0,10,0,0,0.7181818181818183,244,135,1,0,0,0,0,0,0,9,9,0,0,9,0,1,22,11,1,0,0.045454547,0.0,1,0,0,0,0.0,0.0
Buggy 56 : FastDateFormat,18,16,2,0,0,0,0,19,46,4,35,0,7,0.959349593495935,1579,763,16,17,2,13,0,3,0,10,10,0,0,10,0,4,48,40,13,15,0.27083334,0.3125,13,0,0,0,0.8,0.0
Buggy 57 : LocaleUtils,9,9,0,0,0,0,0,0,4,0,4,0,0,0.79375,278,132,1,0,0,0,0,0,0,5,5,0,0,5,0,1,20,8,0,1,0.0,0.05,0,0,0,0,0.0,0.0
Buggy 58 : NumberUtils,3,3,0,0,0,0,0,2,18,18,0,0,0,0.8995445344129555,1523,774,1,0,0,0,0,0,0,42,42,0,0,42,0,1,64,52,0,33,0.0,0.515625,0,0,0,32,0.0,0.0
Buggy 59 : StrBuilder,7,7,0,0,0,0,0,8,8,0,5,2,1,0.8899302528334786,2220,1100,4,3,0,1,0,0,0,21,21,0,0,21,0,2,115,107,4,52,0.034782607,0.45217392,4,0,0,20,0.33333334,0.0
Buggy 60 : StrBuilder,7,7,0,0,0,0,0,8,8,0,5,2,1,0.8899302528334786,2220,1100,4,3,0,1,0,0,0,21,21,0,0,21,0,2,115,107,4,52,0.034782607,0.45217392,4,0,0,20,0.33333334,0.0
Buggy 61 : StrBuilder,7,7,0,0,0,0,0,8,8,0,5,2,1,0.8899302528334786,2220,1100,4,3,0,1,0,0,0,21,21,0,0,21,0,2,115,107,4,52,0.034782607,0.45217392,4,0,0,20,0.33333334,0.0
Buggy 62 : Entities,5,5,0,0,0,0,0,7,18,3,6,6,3,0.8922811059907834,887,500,8,8,1,3,1,3,0,4,4,0,2,2,0,1,21,9,0,2,0.0,0.0952381,0,0,0,0,0.0,0.0
Buggy 63 : DurationFormatUtils,4,4,0,0,0,0,0,3,10,1,2,0,7,0.8641975308641976,593,217,2,1,0,0,0,0,0,0,0,0,0,0,0,1,20,11,3,2,0.15,0.1,3,0,0,0,0.0,0.0
Buggy 64 : ValuedEnum,5,3,2,0,0,0,0,3,2,0,2,0,0,0.75,199,144,1,0,0,0,1,0,0,1,1,0,0,1,0,4,27,4,2,0,0.074074075,0.0,2,0,0,0,0.0,0.0
Buggy 65 : DateUtils,8,8,0,0,0,0,0,2,19,16,3,0,0,0.9464285714285714,904,529,2,1,0,1,0,0,0,26,26,0,2,24,0,1,37,25,0,8,0.0,0.21621622,0,0,0,0,0.0,0.0
