 ,ICT,ICU,ICUN,ICD,ICUJ,ICC,ICW,CBO,TA,PUBA,PRIA,PROA,DA,LCOM5,JAXTL,JAXCL,JAXCD,JAXNC,JAXID,JAXII,JAXAC,JAXAM,NOC,TNE,JEC,CEC,JCKE,RTE,ERR,DIT,TM,EDM,ORM,OLM,ORR,OLR,ORMNA,ECORM,EOLM,AOLM,OOM,OMSC
Buggy 16 : JsonParserSequence,3,3,0,0,0,0,2,5,2,0,0,2,0,0.7142857142857143,136,65,1,0,0,0,0,0,0,3,2,1,2,0,0,6,112,6,2,0,0.017857144,0.0,0,0,0,0,0.0,0.0
Buggy 17 : UTF8JsonGenerator,5,5,0,0,0,0,3,13,24,0,15,9,0,0.8742236024844721,1824,382,1,0,0,0,0,0,0,79,69,10,69,0,0,8,154,72,35,10,0.22727273,0.064935066,0,0,0,0,0.25,0.028571429
Buggy 18 : GeneratorBase,7,7,0,0,0,0,2,12,16,4,0,12,0,0.9470967741935484,394,182,1,0,0,0,1,3,1,15,15,0,14,1,0,6,118,31,25,0,0.21186441,0.0,0,1,0,0,0.045454547,0.0
Buggy 19 : ReaderBasedJsonParser,8,7,1,0,0,0,4,14,11,0,0,11,0,0.8791613316261203,2567,485,1,0,0,0,0,0,0,64,64,0,63,1,0,7,198,71,26,1,0.13131313,0.005050505,0,0,0,0,0.083333336,0.115384616
Buggy 20 : JsonGenerator,10,9,1,0,0,0,2,18,3,0,2,1,0,0.9799732977303071,1825,1366,1,0,0,3,1,44,2,80,74,6,65,9,0,5,115,103,3,29,0.026086956,0.2521739,0,3,0,10,0.0,0.0
Buggy 21 : FilteringParserDelegate,7,6,1,0,0,0,2,10,10,0,0,10,0,0.908994708994709,822,221,1,0,0,0,0,0,0,36,36,0,35,1,0,6,117,54,48,0,0.41025642,0.0,0,0,0,0,0.11627907,0.0
Buggy 22 : FilteringParserDelegate,7,6,1,0,0,0,2,10,10,0,0,10,0,0.908994708994709,816,220,1,0,0,0,0,0,0,36,36,0,35,1,0,6,117,54,48,0,0.41025642,0.0,0,0,0,0,0.11627907,0.0
Buggy 23 : DefaultPrettyPrinter,3,3,0,0,0,0,2,11,11,3,1,7,0,0.8968253968253969,365,155,3,3,1,5,0,2,0,13,13,0,13,0,0,4,29,21,15,1,0.51724136,0.03448276,0,1,0,0,0.15384616,0.0
Buggy 24 : ParserBase,13,13,0,0,0,0,2,17,27,0,0,27,0,0.9564516129032258,1063,394,1,0,0,0,1,1,4,42,37,5,31,6,0,6,177,62,26,2,0.14689265,0.011299435,0,0,0,2,0.0,0.0
Buggy 25 : ReaderBasedJsonParser,8,7,1,0,0,0,4,15,12,0,0,12,0,0.88003663003663,2683,513,1,0,0,0,0,0,0,71,70,1,69,1,0,7,225,78,27,2,0.12,0.008888889,0,0,0,0,0.125,0.11111111
Buggy 26 : NonBlockingJsonParser,9,7,2,0,0,0,1,11,11,0,8,3,0,0.7893824485373782,2689,448,1,0,0,1,0,0,0,62,62,0,62,0,0,10,262,65,7,0,0.026717557,0.0,0,0,0,0,0.0,0.0
