 ,ICT,ICU,ICUN,ICD,ICUJ,ICC,ICW,CBO,TA,PUBA,PRIA,PROA,DA,LCOM5,JAXTL,JAXCL,JACD,JAXNC,JAXID,JAXII,JAXAC,JAXAM,NOC,TNE,JEC,CEC,JCKE,RTE,ERR,DIT,TM,EDM,ORM,OLM,ORR,OLR,ORMNA,ECORM,EOLM,AOLM,OOM,OMSC
Fixed 11 : ZoneInfoCompiler,27,27,0,0,0,0,0,17,27,19,5,0,3,0.9327168367346939,746,83,5,4,0,0,0,0,0,16,16,0,7,7,2,1,24,15,3,0,0.125,0.0,3,0,0,0,1.0,0.0
Fixed 12 : LocalDate,22,20,2,0,0,0,0,26,11,0,11,0,0,0.9489879874938292,1981,1312,2,1,0,2,0,0,0,21,21,0,3,18,0,9,108,85,12,10,0.11111111,0.09259259,12,0,0,0,0.36363637,0.25
Fixed 13 : PeriodFormatterBuilder,12,12,0,0,0,0,0,18,51,0,50,0,1,0.9554338270102116,1688,508,8,8,1,11,0,5,0,23,23,0,8,15,0,1,56,44,0,10,0.0,0.17857143,0,0,0,0,0.0,0.0
Fixed 14 : BasicMonthOfYearDateTimeField,7,7,0,0,0,0,0,8,5,0,5,0,0,0.8721227621483376,327,118,1,0,0,0,0,0,1,1,1,0,0,1,0,4,64,17,16,0,0.25,0.0,16,0,0,0,0.071428575,0.0625
Fixed 15 : FieldUtils,3,3,0,0,0,0,0,4,0,0,0,0,0,0.8740740740740741,307,150,1,0,0,0,0,0,0,13,10,3,0,10,0,1,27,15,0,6,0.0,0.22222222,0,0,0,5,0.0,0.0
Fixed 16 : DateTimeFormatter,15,14,1,0,0,0,0,16,8,0,8,0,0,0.8600900225056264,893,524,1,0,0,0,0,0,0,16,16,0,7,9,0,1,55,43,0,13,0.0,0.23636363,0,0,0,2,0.0,0.0
Fixed 17 : DateTimeZone,26,24,2,0,0,0,0,22,12,1,11,0,0,0.9516981132075472,1218,630,2,1,0,2,1,7,4,30,30,0,7,23,0,2,54,46,4,4,0.074074075,0.074074075,4,1,0,0,0.33333334,0.0
Fixed 18 : GJChronology,17,17,0,0,0,0,0,22,18,0,11,2,5,0.9024242424242425,973,273,4,3,0,0,0,0,0,8,5,3,0,5,0,5,80,24,9,4,0.1125,0.05,9,0,0,0,0.125,0.11111111
Fixed 19 : DateTimeZone,26,24,2,0,0,0,0,22,12,1,11,0,0,0.949685534591195,1198,621,2,1,0,2,1,7,4,30,30,0,7,23,0,2,54,46,4,4,0.074074075,0.074074075,4,1,0,0,0.33333334,0.0
Fixed 20 : DateTimeFormatterBuilder,19,19,0,0,0,0,0,32,34,0,24,6,4,0.9666709232537352,2521,724,14,13,0,19,1,0,0,71,71,0,26,45,0,1,86,74,0,11,0.0,0.12790698,0,0,0,0,0.0,0.0
Fixed 22 : BasePeriod,16,16,0,0,0,0,0,17,3,0,3,0,0,0.8507905138339921,587,297,1,0,0,2,1,0,2,8,8,0,0,8,0,5,42,22,4,2,0.0952381,0.04761905,4,0,0,0,0.0,0.0
Fixed 23 : DateTimeZone,26,24,2,0,0,0,0,22,12,1,11,0,0,0.949685534591195,1198,621,2,1,0,2,1,7,4,30,30,0,7,23,0,2,54,46,4,4,0.074074075,0.074074075,4,1,0,0,0.33333334,0.0
Fixed 24 : DateTimeParserBucket,10,10,0,0,0,0,0,11,19,0,11,0,8,0.9115479115479116,468,200,3,2,0,1,0,0,0,2,1,1,0,1,0,1,31,19,0,5,0.0,0.16129032,0,0,0,0,0.0,0.0
Fixed 25 : DateTimeZone,26,24,2,0,0,0,0,22,12,1,11,0,0,0.9472610722610723,1181,611,2,1,0,2,1,7,4,30,30,0,7,23,0,2,53,45,4,4,0.0754717,0.0754717,4,1,0,0,0.33333334,0.0
Fixed 26 : DateTimeZone,26,24,2,0,0,0,0,22,12,1,11,0,0,0.9450992555831266,1168,608,2,1,0,2,1,7,4,30,30,0,7,23,0,2,53,45,4,4,0.0754717,0.0754717,4,1,0,0,0.33333334,0.0
Fixed 27 : PeriodFormatterBuilder,12,12,0,0,0,0,0,18,51,0,50,0,1,0.955219817612631,1684,508,8,8,1,11,0,5,0,23,23,0,8,15,0,1,56,44,0,10,0.0,0.17857143,0,0,0,0,0.0,0.0
