 ,ICT,ICU,ICUN,ICD,ICUJ,ICC,ICW,CBO,TA,PUBA,PRIA,PROA,DA,LCOM5,JAXTL,JAXCL,JAXCD,JAXNC,JAXID,JAXII,JAXAC,JAXAM,NOC,TNE,JEC,CEC,JCKE,RTE,ERR,DIT,TM,EDM,ORM,OLM,ORR,OLR,ORMNA,ECORM,EOLM,AOLM,OOM,OMSC
Buggy 12 : ExtendedProperties,21,21,0,0,0,0,0,4,11,0,2,8,1,0.873941799,1612,828,3,2,0,0,0,0,0,29,29,0,9,20,0,6,121,60,2,21,0.016528925,0.17355372,2,0,0,14,0,0
Buggy 13 : ExtendedProperties,21,21,0,0,0,0,0,4,11,0,2,8,1,0.873941799,1617,832,3,2,0,0,0,0,0,29,29,0,9,20,0,6,121,60,2,21,0.016528925,0.17355372,2,0,0,14,0,0
Buggy 14 : CaseInsensitiveMap,5,5,0,0,0,0,0,1,1,0,1,0,0,1,141,86,1,0,0,2,0,0,0,3,3,0,3,0,0,7,83,4,2,0,0.024096385,0,2,0,0,0,0,0.5
Buggy 15 : SetUniqueList,10,10,0,0,0,0,0,7,6,0,1,5,0,0.806666667,311,134,3,2,0,0,0,0,0,3,3,0,0,3,0,9,77,18,17,0,0.22077923,0,17,0,0,0,0.41666666,0.7058824
Buggy 16 : SetUniqueList,10,10,0,0,0,0,0,7,6,0,1,5,0,0.806666667,311,136,3,2,0,0,0,0,0,3,3,0,0,3,0,9,77,18,17,0,0.22077923,0,17,0,0,0,0.41666666,0.7058824
Buggy 17 : EqualPredicate,3,2,1,0,0,0,0,5,3,0,3,0,0,0.666666667,107,56,1,0,0,2,0,0,0,0,0,0,0,0,0,3,16,4,1,1,0.0625,0.0625,1,0,0,0,0,0
Buggy 18 : ListOrderedSet,10,10,0,0,0,0,0,10,4,0,1,3,0,0.858695652,359,154,2,1,0,2,0,0,0,5,5,0,0,5,0,11,56,19,13,2,0.23214285,0.035714287,1,0,0,0,0.4,0
Buggy 19 : SetUniqueList,10,10,0,0,0,0,0,10,6,0,1,5,0,0.847826087,389,152,3,2,0,0,0,0,0,5,5,0,2,3,0,9,65,19,23,0,0.35384616,0,0,0,0,0,0.42857143,0.6956522
Buggy 20 : TreeList,7,7,0,0,0,0,0,5,15,0,9,6,0,0.923076923,859,354,3,2,0,2,0,0,0,8,8,0,0,8,0,7,65,13,16,0,0.24615385,0,3,0,0,0,0.5833333,0
Buggy 21 : SetUniqueList,10,10,0,0,0,0,0,10,6,0,1,5,0,0.847826087,395,160,3,2,0,0,0,0,0,5,5,0,2,3,0,9,65,19,23,0,0.35384616,0,0,0,0,0,0.42857143,0.6956522
Buggy 22 : ListOrderedMap,21,21,0,0,0,0,0,21,14,0,14,0,0,0.889112903,697,255,7,6,0,4,0,0,0,9,9,0,3,6,0,15,41,26,40,0,0.9756098,0,6,0,0,0,0.45833334,0.025
Buggy 23 : UnmodifiableTrie,11,11,0,0,0,0,0,11,2,0,2,0,0,0.788461538,148,27,1,0,0,3,0,0,0,5,5,0,0,5,0,13,71,26,24,0,0.33802816,0,21,0,0,0,0,0
Buggy 24 : UnmodifiableBoundedCollection,4,4,0,0,0,0,0,8,1,0,1,0,0,0.958333333,138,51,1,0,0,1,0,0,0,8,8,0,0,8,0,8,40,12,10,1,0.25,0.025,2,0,0,0,0,0.1
Buggy 25 : IteratorUtils,47,47,0,0,0,0,0,56,8,5,3,0,0,0.957988981,1410,918,1,0,0,0,0,0,0,35,35,0,3,32,0,9,40,12,10,1,0.25,0.025,2,0,0,0,0,0
