 ,ICT,ICU,ICUN,ICD,ICUJ,ICC,ICW,CBO,TA,PUBA,PRIA,PROA,DA,LCOM5,JAXTL,JAXCL,JACD,JAXNC,JAXID,JAXII,JAXAC,JAXAM,NOC,TNE,JEC,CEC,JCKE,RTE,ERR,DIT,TM,EDM,ORM,OLM,ORR,OLR,ORMNA,ECORM,EOLM,AOLM,OOM,OMSC
Fixed 11 : MultiKey,4,2,2,0,0,0,0,1,3,0,3,0,0,0.75,260,168,1,0,0,1,0,0,0,1,1,0,0,1,0,2,17,8,3,0,0.1764706,0,3,0,0,0,0,0
Fixed 12 : ExtendedProperties,21,21,0,0,0,0,0,4,11,0,2,8,1,0.873941799,1613,828,3,2,0,0,0,0,0,29,29,0,9,20,0,6,121,60,2,21,0.016528925,0.17355372,2,0,0,14,0,0
Fixed 13 : ExtendedProperties,21,21,0,0,0,0,0,4,11,0,2,8,1,0.87012987,1620,832,3,2,0,0,0,0,0,29,29,0,9,20,0,6,121,60,2,21,0.016528925,0.17355372,2,0,0,14,0,0
Fixed 14 : CaseInsensitiveMap,5,5,0,0,0,0,0,1,1,0,1,0,0,0.833333333,145,86,1,0,0,2,0,0,0,3,3,0,3,0,0,7,83,4,2,0,0.024096385,0,2,0,0,0,0,0.5
Fixed 15 : SetUniqueList,10,10,0,0,0,0,0,7,6,0,1,5,0,0.806666667,311,136,3,2,0,0,0,0,0,3,3,0,0,3,0,9,77,18,17,0,0.22077923,0,17,0,0,0,0.41666666,0.7058824
Fixed 16 : SetUniqueList,10,10,0,0,0,0,0,7,6,0,1,5,0,0.826007326,329,136,3,2,0,0,0,0,0,5,5,0,2,3,0,9,78,19,17,0,0.21794872,0,17,0,0,0,0.41666666,0.7058824
Fixed 17 : EqualPredicate,3,2,1,0,0,0,0,4,3,0,3,0,0,0.666666667,111,56,1,0,0,2,0,0,0,0,0,0,0,0,0,3,16,4,1,1,0.0625,0.0625,1,0,0,0,0,0
Fixed 18 : ListOrderedSet,10,10,0,0,0,0,0,10,4,0,1,3,0,0.884057971,365,154,2,1,0,2,0,0,0,5,5,0,0,5,0,11,56,19,13,2,0.23214285,0.035714287,1,0,0,0,0.4,0
Fixed 19 : SetUniqueList,10,10,0,0,0,0,0,10,6,0,1,5,0,0.847826087,391,155,3,2,0,0,0,0,0,5,5,0,2,3,0,9,65,19,23,0,0.35384616,0,0,0,0,0,0.42857143,0.6956522
Fixed 20 : TreeList,7,7,0,0,0,0,0,5,15,0,9,6,0,0.923076923,857,354,3,2,0,2,0,0,0,8,8,0,0,8,0,7,65,13,16,0,0.24615385,0,3,0,0,0,0.5833333,0
Fixed 21 : SetUniqueList,11,11,0,0,0,0,0,11,6,0,1,5,0,0.847826087,396,160,3,2,0,0,0,0,0,5,5,0,2,3,0,9,65,19,23,0,0.35384616,0,0,0,0,0,0.42857143,0.6956522
Fixed 22 : ListOrderedMap,21,21,0,0,0,0,0,21,14,0,14,0,0,0.886230469,699,255,7,6,0,4,0,0,0,9,9,0,3,6,0,15,41,26,40,0,0.9756098,0,6,0,0,0,0.45833334,0.025
Fixed 23 : UnmodifiableTrie,11,11,0,0,0,0,0,11,2,0,2,0,0,0.815384615,153,28,1,0,0,3,0,0,0,5,5,0,0,5,0,13,71,26,24,0,0.33802816,0,21,0,0,0,0,0
Fixed 24 : UnmodifiableBoundedCollection,5,5,0,0,0,0,0,9,1,0,1,0,0,0.944444444,144,52,1,0,0,2,0,0,0,8,8,0,0,8,0,9,40,12,10,1,0.25,0.025,2,0,0,0,0,0.1
Fixed 25 : IteratorUtils,47,47,0,0,0,0,0,57,8,5,3,0,0,0.957575758,1416,918,1,0,0,0,0,0,0,35,35,0,3,32,0,9,40,12,1,1,0.25,0.025,2,0,0,0,0,0
