 ,ICT,ICU,ICUN,ICD,ICUJ,ICC,ICW,CBO,TA,PUBA,PRIA,PROA,DA,LCOM5,JAXTL,JAXCL,JACD,JAXNC,JAXID,JAXII,JAXAC,JAXAM,NOC,TNE,JEC,CEC,JCKE,RTE,ERR,DIT,TM,EDM,ORM,OLM,ORR,OLR,ORMNA,ECORM,EOLM,AOLM,OOM,OMSC
Fixed 18 : CMAESOptimizer,23,23,0,0,0,0,0,23,56,6,50,0,0,0.867345919,1297,478,3,2,0,2,0,0,0,5,0,5,0,0,0,8,57,36,3,2,0.05263158,0.03508772,0,0,0,0,0,0
Fixed 19 : CMAESOptimizer,23,23,0,0,0,0,0,23,56,6,50,0,0,0.866290209,1295,478,3,2,0,2,0,0,0,5,0,5,0,0,0,8,57,36,3,2,0.05263158,0.03508772,0,0,0,0,0,0
Fixed 20 : CMAESOptimizer,23,21,2,0,0,0,0,21,56,6,50,0,0,0.867225859,1276,471,3,2,0,2,0,0,0,5,0,5,0,0,0,8,57,36,3,2,0.05263158,0.03508772,0,0,0,0,0,0
Fixed 21 : RectangularCholeskyDecomposition,1,1,0,0,0,0,0,4,2,0,2,0,0,0.964285714,153,58,1,0,0,0,0,0,0,3,0,3,0,0,0,1,14,2,0,0,0,0,0,0,0,0,0,0
Fixed 22 : FDistribution,6,6,0,0,0,0,0,7,7,1,6,0,0,0.907692308,267,130,1,0,0,0,0,0,0,5,0,5,0,0,0,4,32,13,10,0,0.3125,0,9,0,0,0,0,0
Fixed 23 : BrentOptimizer,6,6,0,0,0,0,0,8,4,0,4,0,0,0.46875,292,84,1,0,0,0,0,0,1,2,0,2,0,0,0,5,26,2,1,0,0.03846154,0,0,0,0,0,0,0
Fixed 24 : BrentOptimizer,6,6,0,0,0,0,0,8,4,0,4,0,0,0.467741935,274,76,1,0,0,0,0,0,1,2,0,2,0,0,0,5,26,2,1,0,0.03846154,0,0,0,0,0,0,0
Fixed 25 : HarmonicFitter,7,7,0,0,0,0,0,10,4,0,4,0,0,0.755319149,340,188,2,1,0,0,0,0,0,3,0,3,0,0,0,2,21,2,0,1,0,0.04761905,0,0,0,0,0,0
Fixed 26 : Fraction,8,8,0,0,0,0,0,9,17,14,3,0,0,0.955918367,604,285,1,0,0,3,0,0,0,17,0,17,0,0,0,6,41,25,11,3,0.2682927,0.07317073,4,0,0,0,0.09090909,0
Fixed 27 : Fraction,8,8,0,0,0,0,0,9,17,14,3,0,0,0.955918367,604,285,1,0,0,3,0,0,0,17,0,17,0,0,0,6,41,25,11,3,0.2682927,0.07317073,4,0,0,0,0.09090909,0
Fixed 28 : SimplexSolver,5,5,0,0,0,0,0,7,4,0,4,0,0,0.682758621,206,62,1,0,0,0,0,0,0,10,0,10,0,0,0,3,26,5,1,0,0.03846154,0,0,0,0,0,0,0
Fixed 29 : OpenMapRealVector,7,7,0,0,0,0,0,12,8,1,7,0,0,0.810126582,780,236,3,2,0,2,0,0,0,3,1,2,0,1,0,4,79,38,31,0,0.39240506,0,0,0,0,0,0.23333333,0.19354838
Fixed 30 : MannWhitneyUTest,9,9,0,0,0,0,0,9,1,0,1,0,0,0.706666667,204,118,1,0,0,0,0,0,0,12,0,12,0,0,0,1,17,5,0,0,0,0,0,0,0,0,0,0
